sample_id,Prediction_Stability_noise_score,Model_Disagreement_score,Loss_Based_noise_score,bayesian_confidence_noise_score,cleanlab_flag,cleanlab_continuous_score,final_noise_score
0,0.29500000000000004,0.0026039841528735772,0.2690145082379123,0.11499999999999999,0,0.0,0.3560219156286378
1,0.06000000000000005,3.875006305255161e-05,0.033280400961308736,0.015000000000000013,0,0.0,0.05657709120429173
2,0.05500000000000005,1.773060765237341e-05,0.022130952931660796,0.010000000000000009,0,0.0,0.04551936540273749
3,0.235,0.00036004034264430627,0.10138927202198021,0.04500000000000004,0,0.0,0.1993947097623494
4,0.08499999999999996,0.0004028403687891002,0.10138927202198021,0.04500000000000004,0,0.0,0.12106929722949727
5,0.125,0.00047925534658817834,0.1129484129035568,0.050000000000000044,0,0.0,0.15065109308515745
6,0.06499999999999995,2.0450407491768138e-05,0.022130952931660796,0.010000000000000009,0,0.0,0.05074397052279533
7,0.125,0.0003975486669117512,0.10138927202198021,0.04500000000000004,0,0.0,0.14195927134963093
8,0.06499999999999995,6.671376294772659e-05,0.04448658942878758,0.020000000000000018,0,0.0,0.06766808069052441
9,0.06999999999999995,0.00023436154749582013,0.07845144709604926,0.03500000000000003,0,0.0,0.09594248713242315
10,0.10999999999999999,0.00010416795490525962,0.055750098802712096,0.025000000000000022,0,0.0,0.09968670507665706
11,0.16500000000000004,0.0008783449620427232,0.15980148432415003,0.06999999999999995,0,0.0,0.20667087579417676
12,0.24,0.00199031485188506,0.24427254814506666,0.10499999999999998,0,0.0,0.30882750316847274
13,0.49,0.004538581566434357,0.3970745005062537,0.16500000000000004,0,0.0,0.5518885091602821
14,0.19499999999999995,0.00041958849575812946,0.1129484129035568,0.050000000000000044,0,0.0,0.18718221961692078
15,0.22499999999999998,0.0012936045743930295,0.19560733472588424,0.08499999999999996,0,0.0,0.2647637137888427
16,0.22999999999999998,0.0007096298037180762,0.1479944250363851,0.06499999999999995,0,0.0,0.23175481493638922
17,0.13,0.0005313205367267953,0.12456855217241243,0.05500000000000005,0,0.0,0.16197088536617496
18,0.10999999999999999,0.0003104125604960601,0.08989049246444186,0.040000000000000036,0,0.0,0.1254613647800337
19,0.19999999999999996,0.0003565800681680916,0.10138927202198021,0.04500000000000004,0,0.0,0.1811117565826844
20,0.505,0.0023680099943027733,0.2690145082379123,0.11499999999999999,0,0.0,0.46558553685820403
21,0.52,0.0028600124928708057,0.30665664334489795,0.13,0,0.0,0.5011732541299025
22,0.485,0.0033674053070387004,0.3321137046947797,0.14,0,0.0,0.5016770063357411
23,0.5,0.00723859135456239,0.477644876533779,0.19499999999999995,0,0.0,0.6162749062374364
24,0.20999999999999996,0.0014664365263753326,0.19560733472588424,0.08499999999999996,0,0.0,0.2570192103288062
25,0.06000000000000005,3.254683186774906e-06,0.0,0.0,0,0.0,0.03134080702802801
26,0.20499999999999996,0.0014920741128199846,0.19560733472588424,0.08499999999999996,0,0.0,0.2544210090540587
27,0.14,4.439515525334474e-05,0.033280400961308736,0.015000000000000013,0,0.0,0.09836551588744219
28,0.030000000000000027,2.131085005433883e-05,0.022130952931660796,0.010000000000000009,0,0.0,0.032463274133364944
